asset,Date,Open,High,Low,Close
NOK,2011-12-21,NA,377.76,371.61,372.59
NOK,2011-12-20,NA,374.72,363.06,374.72
NOK,2011-12-19,NA,369.41,363.21,363.73
NOK,2011-12-16,NA,368.48,364.4,366.98
NOK,2011-12-15,NA,367.42,358.54,365.01
NOK,2011-12-14,NA,371.08,358.54,358.54
NOK,2011-12-13,NA,373.41,364.8,370.05
NOK,2011-12-12,NA,378.32,367.46,367.77
NOK,2011-12-09,NA,380.34,369.84,378.18
NOK,2011-12-08,NA,384.08,373.21,373.56
NOK,2011-12-07,NA,387.9,378.7,379.92
NOK,2011-12-06,NA,385.27,378.72,384.78
NOK,2011-12-05,NA,383.58,378.94,382.29
NOK,2011-12-02,NA,383.23,377.51,378.98
NOK,2011-12-01,NA,382.23,376.08,378.59
NOK,2011-11-30,NA,380.85,360.18,380.85
NOK,2011-11-29,NA,368.63,361.79,365.91
NOK,2011-11-28,NA,366.39,352.37,366.39
NOK,2011-11-25,NA,353.55,344.77,352.74
NOK,2011-11-24,NA,356.51,346.77,347.74
NOK,2011-11-23,NA,360.82,348.73,348.73
NOK,2011-11-22,NA,369.26,360.19,360.19
NOK,2011-11-21,NA,376.37,364.28,364.28
NOK,2011-11-18,NA,379.64,374.11,375.85
NOK,2011-11-17,NA,386.65,378.31,378.31
NOK,2011-11-16,NA,390.57,383.18,386.34
NOK,2011-11-15,NA,386.87,380.2,384.66
NOK,2011-11-14,NA,391.97,383.66,385.9
NOK,2011-11-11,NA,387.71,377.82,387.65
NOK,2011-11-10,NA,382.89,373.23,377.82
NOK,2011-11-09,NA,394.16,377.42,381.08
NOK,2011-11-08,NA,393.76,386.88,388.21
NOK,2011-11-07,NA,390.99,378.98,387.26
NOK,2011-11-04,NA,388.96,380.5,382.84
NOK,2011-11-03,NA,384.79,367.43,384.79
NOK,2011-11-02,NA,376.35,364.63,374.95
NOK,2011-11-01,NA,384.22,366.25,367.94
NOK,2011-10-31,NA,390.28,384.22,384.22
NOK,2011-10-28,NA,396.23,388.34,390.25
NOK,2011-10-27,NA,394.97,383.36,394.92
NOK,2011-10-26,NA,388.78,380.27,383.38
NOK,2011-10-25,NA,387.73,379.1,381.98
NOK,2011-10-24,NA,385.33,376.32,385.33
NOK,2011-10-21,NA,377.88,366,377.88
NOK,2011-10-20,NA,369.01,364.12,366.3
NOK,2011-10-19,NA,373.35,368.36,368.88
NOK,2011-10-18,NA,371.23,362.84,369.72
NOK,2011-10-17,NA,377.14,364.78,367.52
NOK,2011-10-14,NA,370.68,360.38,370.35
NOK,2011-10-13,NA,368.35,359.59,360.38
NOK,2011-10-12,NA,366.07,354.44,366.07
NOK,2011-10-11,NA,360.74,353.22,355.64
NOK,2011-10-10,NA,360.41,345.4,360.41
NOK,2011-10-07,NA,351.33,344.6,345.43
NOK,2011-10-06,NA,345.54,337.14,345.52
